title,body,labels,milestone
"[PROG-001] Define RACI, decision log, escalation policy","Backlog ID: PROG-001
Epic: Program Setup
Owner Role: General Manager Agent
Sprint: S1
Priority: P0
Dependencies: None

Acceptance Test:
RACI approved and decision log live

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:general-manager-agent,priority:p0,sprint:s1",S1
[PROG-002] Create shared artifact contract (ADR/API/Test/Rollback),"Backlog ID: PROG-002
Epic: Program Setup
Owner Role: Chief Orchestrator Agent
Sprint: S1
Priority: P0
Dependencies: PROG-001

Acceptance Test:
All new tickets include required artifact links

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:chief-orchestrator-agent,priority:p0,sprint:s1",S1
[PROG-003] Define release scorecard and go/no-go rubric,"Backlog ID: PROG-003
Epic: Program Setup
Owner Role: QA Test Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-001

Acceptance Test:
Release gate rubric published and enforced in CI

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:qa-test-manager-agent,priority:p0,sprint:s1",S1
[CORE-001] Stand up SIP runtime service skeleton,"Backlog ID: CORE-001
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-002

Acceptance Test:
Test endpoints can register and remain stable

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s1",S1
[CORE-002] Implement extension-to-extension calling,"Backlog ID: CORE-002
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S1
Priority: P0
Dependencies: CORE-001

Acceptance Test:
Internal call completion greater than 95 percent in lab

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s1",S1
[CORE-003] Integrate inbound and outbound trunk routing,"Backlog ID: CORE-003
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S2
Priority: P0
Dependencies: CORE-002

Acceptance Test:
Inbound and outbound PSTN calls produce valid CDRs

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s2",S2
"[CORE-004] Implement IVR, ring groups, and queues runtime parity","Backlog ID: CORE-004
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S2
Priority: P1
Dependencies: CORE-003

Acceptance Test:
Configured call flows execute correctly end to end

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s2",S2
"[CORE-005] Implement voicemail, recording, and retrieval pipeline","Backlog ID: CORE-005
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S3
Priority: P1
Dependencies: CORE-004

Acceptance Test:
Voicemail and recordings are accessible from UI and APIs

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s3",S3
[PROV-001] Define normalized device profile schema,"Backlog ID: PROV-001
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-002

Acceptance Test:
Schema approved and used by adapters

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p0,sprint:s1",S1
[PROV-002] Build adapter SDK and validation harness,"Backlog ID: PROV-002
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S2
Priority: P0
Dependencies: PROV-001

Acceptance Test:
Reference adapter passes all SDK conformance checks

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p0,sprint:s2",S2
[PROV-003] Implement Yealink and Grandstream adapters,"Backlog ID: PROV-003
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S2
Priority: P1
Dependencies: PROV-002

Acceptance Test:
Zero-touch adopt works for both vendor baselines

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p1,sprint:s2",S2
"[PROV-004] Implement Fanvil, Poly, and UniFi adapters","Backlog ID: PROV-004
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S3
Priority: P1
Dependencies: PROV-002

Acceptance Test:
Zero-touch adopt works for all listed vendors

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p1,sprint:s3",S3
[PROV-005] Build device discovery pipeline (DHCP/SIP/UniFi signals),"Backlog ID: PROV-005
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S3
Priority: P0
Dependencies: PROV-001

Acceptance Test:
Unknown phone appears in adoption queue with confidence score

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p0,sprint:s3",S3
[FWM-001] Define firmware catalog schema and provenance policy,"Backlog ID: FWM-001
Epic: Firmware
Owner Role: Firmware Manager Agent
Sprint: S2
Priority: P0
Dependencies: PROG-002

Acceptance Test:
Catalog entries require hash and signature metadata

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:firmware,owner:firmware-manager-agent,priority:p0,sprint:s2",S2
"[FWM-002] Build fetch, verify, cache pipeline with quarantine path","Backlog ID: FWM-002
Epic: Firmware
Owner Role: Firmware Manager Agent
Sprint: S3
Priority: P0
Dependencies: FWM-001

Acceptance Test:
Corrupt or unsigned artifacts are blocked automatically

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:firmware,owner:firmware-manager-agent,priority:p0,sprint:s3",S3
[FWM-003] Implement canary/group/fleet rollout rings,"Backlog ID: FWM-003
Epic: Firmware
Owner Role: Firmware Manager Agent
Sprint: S4
Priority: P1
Dependencies: FWM-002

Acceptance Test:
Rollouts can be staged with policy enforcement

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:firmware,owner:firmware-manager-agent,priority:p1,sprint:s4",S4
[FWM-004] Implement automated rollback on health failure,"Backlog ID: FWM-004
Epic: Firmware
Owner Role: Firmware Manager Agent
Sprint: S4
Priority: P0
Dependencies: FWM-003

Acceptance Test:
Canary failure triggers rollback and alert within SLA

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:firmware,owner:firmware-manager-agent,priority:p0,sprint:s4",S4
[UNI-001] Build low-setup controller discovery and auth wizard,"Backlog ID: UNI-001
Epic: UniFi Relay
Owner Role: UniFi Relay Manager Agent
Sprint: S2
Priority: P0
Dependencies: PROG-002

Acceptance Test:
New controller setup succeeds using guided wizard

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:unifi-relay,owner:unifi-relay-manager-agent,priority:p0,sprint:s2",S2
[UNI-002] Implement two-way extension and device sync,"Backlog ID: UNI-002
Epic: UniFi Relay
Owner Role: UniFi Relay Manager Agent
Sprint: S3
Priority: P0
Dependencies: UNI-001

Acceptance Test:
Sync lag remains below target and state converges

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:unifi-relay,owner:unifi-relay-manager-agent,priority:p0,sprint:s3",S3
[UNI-003] Implement conflict resolution and reconciliation logs,"Backlog ID: UNI-003
Epic: UniFi Relay
Owner Role: UniFi Relay Manager Agent
Sprint: S4
Priority: P1
Dependencies: UNI-002

Acceptance Test:
Conflict handling is deterministic and auditable

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:unifi-relay,owner:unifi-relay-manager-agent,priority:p1,sprint:s4",S4
[INS-001] Build VM pipelines for OVA and QCOW2,"Backlog ID: INS-001
Epic: Installer
Owner Role: Installer Manager Agent
Sprint: S4
Priority: P0
Dependencies: CORE-003

Acceptance Test:
Install to first call under 30 minutes on target hypervisors

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:installer,owner:installer-manager-agent,priority:p0,sprint:s4",S4
[INS-002] Build baremetal ISO pipeline,"Backlog ID: INS-002
Epic: Installer
Owner Role: Installer Manager Agent
Sprint: S5
Priority: P0
Dependencies: INS-001

Acceptance Test:
Installer passes repeatable hardware install tests

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:installer,owner:installer-manager-agent,priority:p0,sprint:s5",S5
[INS-003] Implement first-boot setup wizard,"Backlog ID: INS-003
Epic: Installer
Owner Role: Installer Manager Agent
Sprint: S5
Priority: P1
Dependencies: INS-001

Acceptance Test:
No CLI needed for initial system setup

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:installer,owner:installer-manager-agent,priority:p1,sprint:s5",S5
[TEST-001] Create unified test harness and fixtures,"Backlog ID: TEST-001
Epic: Testing
Owner Role: QA Test Manager Agent
Sprint: S1
Priority: P0
Dependencies: PROG-003

Acceptance Test:
Smoke and regression tests run automatically in CI

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:testing,owner:qa-test-manager-agent,priority:p0,sprint:s1",S1
[TEST-002] Integrate security testing suite into CI gates,"Backlog ID: TEST-002
Epic: Testing
Owner Role: Security Test Lead Agent
Sprint: S2
Priority: P0
Dependencies: TEST-001

Acceptance Test:
Critical security findings block merges

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:testing,owner:security-test-lead-agent,priority:p0,sprint:s2",S2
[TEST-003] Build carrier interoperability harness,"Backlog ID: TEST-003
Epic: Testing
Owner Role: Carrier Compatibility Lead Agent
Sprint: S3
Priority: P0
Dependencies: TEST-001

Acceptance Test:
Tier 1 carriers pass inbound, outbound, transfer, and DTMF flows

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:testing,owner:carrier-compatibility-lead-agent,priority:p0,sprint:s3",S3
[TEST-004] Build device and firmware compatibility harness,"Backlog ID: TEST-004
Epic: Testing
Owner Role: Device/Firmware Compatibility Lead Agent
Sprint: S3
Priority: P0
Dependencies: TEST-001

Acceptance Test:
Supported model matrix has reproducible certification reports

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:testing,owner:device/firmware-compatibility-lead-agent,priority:p0,sprint:s3",S3
"[TEST-005] Run load, soak, and failover drills","Backlog ID: TEST-005
Epic: Testing
Owner Role: Performance & Reliability Lead Agent
Sprint: S4
Priority: P0
Dependencies: CORE-003

Acceptance Test:
SLO targets met for concurrency and failover windows

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:testing,owner:performance-&-reliability-lead-agent,priority:p0,sprint:s4",S4
[SEC-001] Threat model and privileged action policy,"Backlog ID: SEC-001
Epic: Security
Owner Role: Security Test Lead Agent
Sprint: S1
Priority: P0
Dependencies: PROG-001

Acceptance Test:
Threat model approved and privileged actions gated

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:security,owner:security-test-lead-agent,priority:p0,sprint:s1",S1
[SEC-002] Implement audit trail coverage checks,"Backlog ID: SEC-002
Epic: Security
Owner Role: Security Test Lead Agent
Sprint: S2
Priority: P1
Dependencies: SEC-001

Acceptance Test:
All admin-impacting actions include complete audit events

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:security,owner:security-test-lead-agent,priority:p1,sprint:s2",S2
"[CARR-001] Certify Tier 1 carriers (Twilio, Bandwidth, Telnyx)","Backlog ID: CARR-001
Epic: Carrier Compatibility
Owner Role: Carrier Compatibility Lead Agent
Sprint: S4
Priority: P0
Dependencies: TEST-003

Acceptance Test:
Tier 1 carrier matrix marked certified for launch

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:carrier-compatibility,owner:carrier-compatibility-lead-agent,priority:p0,sprint:s4",S4
"[CARR-002] Certify Tier 2 carriers (Vonage, Plivo, Flowroute, VoIP.ms)","Backlog ID: CARR-002
Epic: Carrier Compatibility
Owner Role: Carrier Compatibility Lead Agent
Sprint: S5
Priority: P1
Dependencies: CARR-001

Acceptance Test:
Tier 2 matrix published with pass rates and caveats

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:carrier-compatibility,owner:carrier-compatibility-lead-agent,priority:p1,sprint:s5",S5
[DOC-001] Publish operator runbook and rollback playbooks,"Backlog ID: DOC-001
Epic: Enablement
Owner Role: Docs & Enablement Agent
Sprint: S5
Priority: P1
Dependencies: TEST-005

Acceptance Test:
On-call runbook passes tabletop incident exercise

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:enablement,owner:docs-&-enablement-agent,priority:p1,sprint:s5",S5
[DOC-002] Publish installer and migration guides,"Backlog ID: DOC-002
Epic: Enablement
Owner Role: Docs & Enablement Agent
Sprint: S5
Priority: P1
Dependencies: INS-003

Acceptance Test:
New operator can complete install and migration from docs alone

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:enablement,owner:docs-&-enablement-agent,priority:p1,sprint:s5",S5
[PROG-004] Define 6-month KPI targets and monthly checkpoints,"Backlog ID: PROG-004
Epic: Program Setup
Owner Role: General Manager Agent
Sprint: S6
Priority: P1
Dependencies: PROG-003

Acceptance Test:
KPI dashboard includes monthly target and owner for each metric

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:program-setup,owner:general-manager-agent,priority:p1,sprint:s6",S6
[CORE-006] Implement attended and blind transfer semantics,"Backlog ID: CORE-006
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S6
Priority: P1
Dependencies: CORE-004

Acceptance Test:
Transfer flows pass functional and carrier interop tests

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s6",S6
[CORE-007] Implement call parking and retrieval runtime hooks,"Backlog ID: CORE-007
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S6
Priority: P1
Dependencies: CORE-004

Acceptance Test:
Call park and retrieve works from supported desk phones

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s6",S6
[CORE-008] Implement paging and intercom call classes,"Backlog ID: CORE-008
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S7
Priority: P2
Dependencies: CORE-006

Acceptance Test:
Page/intercom policies work with role permissions

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p2,sprint:s7",S7
[CORE-009] Implement emergency call routing policy controls,"Backlog ID: CORE-009
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S7
Priority: P0
Dependencies: CORE-003

Acceptance Test:
Emergency route tests pass with policy and audit logging

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s7",S7
[CORE-010] Implement config apply transaction and rollback framework,"Backlog ID: CORE-010
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S7
Priority: P0
Dependencies: CORE-005

Acceptance Test:
Failed config apply auto-reverts with clear operator reason

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p0,sprint:s7",S7
[CORE-011] Add active-standby runtime mode for HA pilot,"Backlog ID: CORE-011
Epic: PBX Core
Owner Role: PBX Core Manager Agent
Sprint: S8
Priority: P1
Dependencies: CORE-010

Acceptance Test:
Failover drill achieves target recovery interval

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:pbx-core,owner:pbx-core-manager-agent,priority:p1,sprint:s8",S8
[PROV-006] Add per-vendor template versioning and migration tool,"Backlog ID: PROV-006
Epic: Provisioning
Owner Role: Provisioning Manager Agent
Sprint: S6
Priority: P1
Dependencies: PROV-004

Acceptance Test:
Template schema updates can migrate existing fleet safely

Definition of Done:
1. Code merged with linked tests
2. Rollback note documented
3. Test evidence attached","epic:provisioning,owner:provisioning-manager-agent,priority:p1,sprint:s6",S6
